drugbank_id,drug_name,target_id,target_name,actions,known_action,organism,gene_name,uniprot_id
DB00292,Etomidate,BE0000572,Alpha-2B adrenergic receptor,agonist,yes,Humans,ADRA2B,P18089
DB00292,Etomidate,BE0004797,GABA(A) Receptor,positive allosteric modulator,yes,Humans,GABRA1,P14867
DB00292,Etomidate,BE0003594,Gamma-aminobutyric acid receptor subunit gamma-3,modulator,unknown,Humans,GABRG3,Q99928
DB00293,Raltitrexed,BE0000324,Thymidylate synthase,inhibitor,yes,Humans,TYMS,P04818
DB00293,Raltitrexed,BE0000021,Thymidylate synthase,inhibitor,unknown,Yeast,TMP1,P12461
DB00293,Raltitrexed,BE0000700,"Folylpolyglutamate synthase, mitochondrial",antagonist,unknown,Humans,FPGS,Q05932
DB00294,Etonogestrel,BE0000557,Progesterone receptor,agonist,yes,Humans,PGR,P06401
DB00295,Morphine,BE0000770,Mu-type opioid receptor,agonist,yes,Humans,OPRM1,P35372
DB00295,Morphine,BE0000632,Kappa-type opioid receptor,agonist,yes,Humans,OPRK1,P41145
DB00295,Morphine,BE0000420,Delta-type opioid receptor,agonist,yes,Humans,OPRD1,P41143
DB00295,Morphine,BE0004024,Lymphocyte antigen 96,activator,no,Humans,LY96,Q9Y6Y9
DB00296,Ropivacaine,BE0000177,Sodium channel protein type 10 subunit alpha,inhibitor,yes,Humans,SCN10A,Q9Y5Y9
DB00297,Bupivacaine,BE0000177,Sodium channel protein type 10 subunit alpha,inhibitor,yes,Humans,SCN10A,Q9Y5Y9
DB00297,Bupivacaine,BE0000064,Prostaglandin E2 receptor EP1 subtype,other/unknown,unknown,Humans,PTGER1,P34995
DB00298,Dapiprazole,BE0000501,Alpha-1A adrenergic receptor,antagonist,yes,Humans,ADRA1A,P35348
DB00298,Dapiprazole,BE0000715,Alpha-1D adrenergic receptor,antagonist,yes,Humans,ADRA1D,P25100
DB00298,Dapiprazole,BE0000575,Alpha-1B adrenergic receptor,antagonist,yes,Humans,ADRA1B,P35368
DB00298,Dapiprazole,BE0000756,D(2) dopamine receptor,antagonist,unknown,Humans,DRD2,P14416
DB00299,Penciclovir,BE0000308,DNA polymerase catalytic subunit,inhibitor,yes,HHV-1,,P04293
DB00299,Penciclovir,BE0000514,Thymidine kinase,inducer,yes,HHV-1,TK,P06478
DB00299,Penciclovir,BE0001260,"Thymidine kinase, cytosolic",inhibitor,unknown,Humans,TK1,P04183
DB00300,Tenofovir disoproxil,BE0004136,Reverse transcriptase/RNaseH,inhibitor,yes,Human immunodeficiency virus 1,pol,Q72547
DB00300,Tenofovir disoproxil,BE0002050,Gag-Pol polyprotein,modulator,unknown,HIV-1,gag-pol,P03366
DB00300,Tenofovir disoproxil,BE0000312,Protein P,inhibitor,unknown,HBV-D,P,P24024
DB00301,Flucloxacillin,BE0000576,Penicillin-binding protein 1A,inhibitor,yes,Clostridium perfringens (strain 13 / Type A),pbpA,Q8XJ01
DB00302,Tranexamic acid,BE0000211,Plasminogen,inhibitor,yes,Humans,PLG,P00747
DB00303,Ertapenem,BE0000588,Penicillin-binding protein 1A,inhibitor,yes,Escherichia coli (strain K12),mrcA,P02918
DB00303,Ertapenem,BE0000488,Penicillin-binding protein 1B,inhibitor,yes,Escherichia coli (strain K12),mrcB,P02919
DB00303,Ertapenem,BE0000103,"Peptidoglycan D,D-transpeptidase MrdA",inhibitor,yes,Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd),mrdA,P44469
DB00303,Ertapenem,BE0003579,"Peptidoglycan D,D-transpeptidase MrdA",inhibitor,yes,Escherichia coli (strain K12),mrdA,P0AD65
DB00303,Ertapenem,BE0000001,"Peptidoglycan D,D-transpeptidase FtsI",inhibitor,yes,Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd),ftsI,P45059
DB00303,Ertapenem,BE0002393,"Peptidoglycan D,D-transpeptidase FtsI",inhibitor,yes,Escherichia coli (strain K12),ftsI,P0AD68
DB00303,Ertapenem,BE0000744,D-alanyl-D-alanine carboxypeptidase DacB,inhibitor,yes,Escherichia coli (strain K12),dacB,P24228
DB00303,Ertapenem,BE0003685,D-alanyl-D-alanine carboxypeptidase DacC,inhibitor,yes,Escherichia coli (strain K12),dacC,P08506
DB00304,Desogestrel,BE0000557,Progesterone receptor,agonist,yes,Humans,PGR,P06401
DB00304,Desogestrel,BE0000123,Estrogen receptor,agonist,yes,Humans,ESR1,P03372
DB00305,Mitomycin,BE0004796,DNA,cross-linking/alkylation,yes,,,
DB00306,Talbutal,BE0000381,Gamma-aminobutyric acid receptor subunit alpha-2,potentiator,yes,Humans,GABRA2,P47869
DB00306,Talbutal,BE0000523,Gamma-aminobutyric acid receptor subunit alpha-3,potentiator,yes,Humans,GABRA3,P34903
DB00306,Talbutal,BE0000478,Gamma-aminobutyric acid receptor subunit alpha-4,potentiator,yes,Humans,GABRA4,P48169
DB00306,Talbutal,BE0000471,Gamma-aminobutyric acid receptor subunit alpha-5,potentiator,yes,Humans,GABRA5,P31644
DB00306,Talbutal,BE0000764,Gamma-aminobutyric acid receptor subunit alpha-6,potentiator,yes,Humans,GABRA6,Q16445
DB00306,Talbutal,BE0004797,GABA(A) Receptor,positive allosteric modulator,yes,Humans,GABRA1,P14867
DB00306,Talbutal,BE0000795,Gamma-aminobutyric acid receptor subunit alpha-1,potentiator,yes,Humans,GABRA1,P14867
DB00306,Talbutal,BE0003594,Gamma-aminobutyric acid receptor subunit gamma-3,modulator,unknown,Humans,GABRG3,Q99928
DB00306,Talbutal,BE0000849,Neuronal acetylcholine receptor subunit alpha-4,antagonist,unknown,Humans,CHRNA4,P43681
DB00306,Talbutal,BE0002341,Neuronal acetylcholine receptor subunit alpha-7,antagonist,unknown,Humans,CHRNA7,P36544
DB00306,Talbutal,BE0000829,Glutamate receptor 2,antagonist,unknown,Humans,GRIA2,P42262
DB00306,Talbutal,BE0000826,"Glutamate receptor ionotropic, kainate 2",antagonist,unknown,Humans,GRIK2,Q13002
DB00307,Bexarotene,BE0000412,Retinoic acid receptor RXR-alpha,agonist,yes,Humans,RXRA,P19793
DB00307,Bexarotene,BE0000078,Retinoic acid receptor RXR-beta,agonist,yes,Humans,RXRB,P28702
DB00307,Bexarotene,BE0000707,Retinoic acid receptor RXR-gamma,agonist,yes,Humans,RXRG,P48443
DB00308,Ibutilide,BE0000430,Voltage-dependent L-type calcium channel subunit alpha-1C,activator,yes,Humans,CACNA1C,Q13936
DB00308,Ibutilide,BE0000303,Voltage-dependent L-type calcium channel subunit beta-1,activator,yes,Humans,CACNB1,Q02641
DB00308,Ibutilide,BE0000090,Voltage-gated inwardly rectifying potassium channel KCNH2,inhibitor,yes,Humans,KCNH2,Q12809
DB00308,Ibutilide,BE0000691,Voltage-dependent calcium channel subunit alpha-2/delta-1,activator,unknown,Humans,CACNA2D1,P54289
DB00308,Ibutilide,BE0000679,Voltage-dependent calcium channel gamma-1 subunit,activator,unknown,Humans,CACNG1,Q06432
DB00308,Ibutilide,BE0000154,Potassium channel subfamily K member 1,inhibitor,unknown,Humans,KCNK1,O00180
DB00308,Ibutilide,BE0000680,Potassium channel subfamily K member 6,inhibitor,unknown,Humans,KCNK6,Q9Y257
DB00308,Ibutilide,BE0000462,Voltage-gated inwardly rectifying potassium channel KCNH6,inhibitor,unknown,Humans,KCNH6,Q9H252
DB00308,Ibutilide,BE0000699,Voltage-gated inwardly rectifying potassium channel KCNH7,inhibitor,unknown,Humans,KCNH7,Q9NS40
DB00308,Ibutilide,BE0000708,ATP-sensitive inward rectifier potassium channel 11,inhibitor,unknown,Humans,KCNJ11,Q14654
DB00309,Vindesine,BE0000026,Tubulin beta-1 chain,inhibitor,yes,Humans,TUBB1,Q9H4B7
DB00310,Chlorthalidone,BE0000267,Carbonic anhydrase 1,inhibitor,yes,Humans,CA1,P00915
DB00310,Chlorthalidone,BE0000502,Solute carrier family 12 member 1,inhibitor,yes,Humans,SLC12A1,Q13621
DB00311,Ethoxzolamide,BE0000322,Carbonic anhydrase 2,inhibitor,yes,Humans,CA2,P00918
DB00311,Ethoxzolamide,BE0000535,Carbonic anhydrase 4,inhibitor,yes,Humans,CA4,P22748
DB00311,Ethoxzolamide,BE0003629,Carbonic anhydrase 7,inhibitor,yes,Humans,CA7,P43166
DB00311,Ethoxzolamide,BE0000267,Carbonic anhydrase 1,inhibitor,yes,Humans,CA1,P00915
DB00311,Ethoxzolamide,BE0003625,Carbonic anhydrase 3,inhibitor,unknown,Humans,CA3,P07451
DB00312,Pentobarbital,BE0000795,Gamma-aminobutyric acid receptor subunit alpha-1,potentiator,yes,Humans,GABRA1,P14867
DB00312,Pentobarbital,BE0000381,Gamma-aminobutyric acid receptor subunit alpha-2,potentiator,yes,Humans,GABRA2,P47869
DB00312,Pentobarbital,BE0000523,Gamma-aminobutyric acid receptor subunit alpha-3,potentiator,yes,Humans,GABRA3,P34903
DB00312,Pentobarbital,BE0000478,Gamma-aminobutyric acid receptor subunit alpha-4,potentiator,yes,Humans,GABRA4,P48169
DB00312,Pentobarbital,BE0000471,Gamma-aminobutyric acid receptor subunit alpha-5,potentiator,yes,Humans,GABRA5,P31644
DB00312,Pentobarbital,BE0000764,Gamma-aminobutyric acid receptor subunit alpha-6,potentiator,yes,Humans,GABRA6,Q16445
DB00312,Pentobarbital,BE0004797,GABA(A) Receptor,positive allosteric modulator,yes,Humans,GABRA1,P14867
DB00312,Pentobarbital,BE0000849,Neuronal acetylcholine receptor subunit alpha-4,antagonist,unknown,Humans,CHRNA4,P43681
DB00312,Pentobarbital,BE0002341,Neuronal acetylcholine receptor subunit alpha-7,antagonist,unknown,Humans,CHRNA7,P36544
DB00312,Pentobarbital,BE0000829,Glutamate receptor 2,antagonist,unknown,Humans,GRIA2,P42262
DB00312,Pentobarbital,BE0000826,"Glutamate receptor ionotropic, kainate 2",antagonist,unknown,Humans,GRIK2,Q13002
DB00312,Pentobarbital,BE0004956,NMDA receptor,antagonist,unknown,Humans,GRIN1,Q05586
DB00312,Pentobarbital,BE0000956,Nuclear receptor subfamily 1 group I member 2,activator,unknown,Humans,NR1I2,O75469
DB00313,Valproic acid,BE0000881,Histone deacetylase 9,inhibitor,yes,Humans,HDAC9,Q9UKV0
DB00313,Valproic acid,BE0009446,Glycogen synthase kinase-3 alpha,inhibitor,unknown,Humans,GSK3A,P49840
DB00313,Valproic acid,BE0000253,"4-aminobutyrate aminotransferase, mitochondrial",inhibitor,unknown,Humans,ABAT,P80404
DB00313,Valproic acid,BE0000573,"Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial",inhibitor,unknown,Humans,ACADSB,P45954
DB00313,Valproic acid,BE0000162,2-oxoglutarate dehydrogenase complex component E1,inhibitor,unknown,Humans,OGDH,Q02218
DB00313,Valproic acid,BE0000152,"Succinate-semialdehyde dehydrogenase, mitochondrial",inhibitor,unknown,Humans,ALDH5A1,P51649
DB00313,Valproic acid,BE0004901,Sodium channel protein,inhibitor,unknown,Humans,SCN1A,P35498
