drugbank_id,drug_name,transporter_id,transporter_name,actions,organism,gene_name,uniprot_id
DB00227,Lovastatin,BE0001069,ATP-binding cassette sub-family C member 2,substrate,Humans,ABCC2,Q92887
DB00227,Lovastatin,BE0000703,Bile salt export pump,substrate,Humans,ABCB11,O95342
DB00227,Lovastatin,BE0001042,Solute carrier organic anion transporter family member 2B1,,Humans,SLCO2B1,O94956
DB00227,Lovastatin,BE0003659,Solute carrier organic anion transporter family member 1B3,,Humans,SLCO1B3,Q9NPD5
DB00229,Cefotiam,BE0001066,Solute carrier family 22 member 6,"substrate, inhibitor",Humans,SLC22A6,Q4U2R8
DB00229,Cefotiam,BE0003645,Organic anion transporter 3,"substrate, inhibitor",Humans,SLC22A8,Q8TCC7
DB00230,Pregabalin,BE0001054,Excitatory amino acid transporter 3,other,Humans,SLC1A1,P43005
DB00230,Pregabalin,BE0000222,Large neutral amino acids transporter small subunit 1,substrate,Humans,SLC7A5,Q01650
DB00234,Reboxetine,BE0001032,ATP-dependent translocase ABCB1,inhibitor,Humans,ABCB1,P08183
DB00237,Butabarbital,BE0001057,"Solute carrier family 2, facilitated glucose transporter member 1",inhibitor,Humans,SLC2A1,P11166
DB00238,Nevirapine,BE0003648,Solute carrier family 22 member 1,inhibitor,Humans,SLC22A1,O15245
DB00242,Cladribine,BE0001067,Broad substrate specificity ATP-binding cassette transporter ABCG2,substrate,Humans,ABCG2,Q9UNQ0
DB00242,Cladribine,BE0003672,Solute carrier family 28 member 3,substrate,Humans,SLC28A3,Q9HAS3
DB00242,Cladribine,BE0001032,ATP-dependent translocase ABCB1,substrate,Humans,ABCB1,P08183
DB00242,Cladribine,BE0001204,Equilibrative nucleoside transporter 1,,Humans,SLC29A1,Q99808
DB00243,Ranolazine,BE0000703,Bile salt export pump,substrate,Humans,ABCB11,O95342
DB00243,Ranolazine,BE0001032,ATP-dependent translocase ABCB1,"substrate, inhibitor",Humans,ABCB1,P08183
DB00243,Ranolazine,BE0003657,Multidrug and toxin extrusion protein 1,inhibitor,Humans,SLC47A1,Q96FL8
DB00243,Ranolazine,BE0004752,Multidrug and toxin extrusion protein 2,inhibitor,Humans,SLC47A2,Q86VL8
DB00244,Mesalazine,BE0001004,Solute carrier organic anion transporter family member 1B1,substrate,Humans,SLCO1B1,Q9Y6L6
DB00244,Mesalazine,BE0003659,Solute carrier organic anion transporter family member 1B3,substrate,Humans,SLCO1B3,Q9NPD5
DB00244,Mesalazine,BE0001042,Solute carrier organic anion transporter family member 2B1,substrate,Humans,SLCO2B1,O94956
DB00246,Ziprasidone,BE0001032,ATP-dependent translocase ABCB1,,Humans,ABCB1,P08183
DB00248,Cabergoline,BE0001032,ATP-dependent translocase ABCB1,substrate,Humans,ABCB1,P08183
DB00252,Phenytoin,BE0003660,Solute carrier organic anion transporter family member 1C1,inhibitor,Humans,SLCO1C1,Q9NYB5
DB00252,Phenytoin,BE0001032,ATP-dependent translocase ABCB1,substrate,Humans,ABCB1,P08183
DB00252,Phenytoin,BE0001069,ATP-binding cassette sub-family C member 2,substrate,Humans,ABCC2,Q92887
DB00253,Medrysone,BE0003642,Solute carrier organic anion transporter family member 1A2,substrate,Humans,SLCO1A2,P46721
DB00253,Medrysone,BE0001032,ATP-dependent translocase ABCB1,substrate,Humans,ABCB1,P08183
DB00253,Medrysone,BE0003645,Organic anion transporter 3,substrate,Humans,SLC22A8,Q8TCC7
